iter	RMSE
0	77894.60789
1	77012.0319
2	76060.27739
3	75182.06937
4	74371.43107
5	73456.51674
6	72522.58146
7	71707.54733
8	70793.68976
9	70013.16466
10	69248.70659
11	68506.5304
12	67709.63135
13	66942.51095
14	66162.51529
15	65405.71145
16	64590.97269
17	63861.67672
18	63131.545
19	62390.13709
20	61671.59967
21	60989.66381
22	60314.97988
23	59653.50369
24	58952.20497
25	58276.00049
26	57600.00559
27	56992.18375
28	56399.06526
29	55791.04989
30	55264.74153
31	54733.99081
32	54184.9066
33	53687.11165
34	53123.5349
35	52515.37295
36	51964.68606
37	51505.36681
38	51004.31088
39	50482.75795
40	50007.70246
41	49510.97393
42	48997.32626
43	48532.81835
44	48037.12317
45	47590.67326
46	47181.25578
47	46746.75279
48	46315.76723
49	45861.20072
50	45432.88896
51	45064.5951
52	44643.17457
53	44202.06992
54	43859.94856
55	43458.97588
56	43130.58137
57	42760.28602
58	42444.92894
59	42083.66042
60	41710.3019
61	41332.65315
62	40980.7138
63	40684.28331
64	40400.70474
65	40069.92218
66	39711.84039
67	39382.09351
68	39075.09282
69	38742.16028
70	38469.11618
71	38188.64399
72	37888.53594
73	37579.41138
74	37276.14947
75	36977.43202
76	36710.00882
77	36463.12286
78	36208.99786
79	35942.29645
80	35708.38111
81	35447.83697
82	35253.69081
83	34998.30616
84	34773.8232
85	34569.06338
86	34346.72308
87	34149.86182
88	33977.71329
89	33735.43067
90	33531.39447
91	33300.12224
92	33081.41474
93	32881.06856
94	32653.27489
95	32469.7855
96	32268.05778
97	32076.21945
98	31923.87868
99	31752.13004
100	31528.95526
101	31345.35298
102	31168.23009
103	30973.95167
104	30811.18265
105	30606.30771
106	30443.46072
107	30274.35561
108	30100.04119
109	29939.01094
110	29763.60422
111	29616.34849
112	29446.47952
113	29332.04002
114	29191.2423
115	29048.49873
116	28885.91643
117	28729.26122
118	28601.5327
119	28446.62905
120	28335.47158
121	28209.41379
122	28069.38373
123	27933.19414
124	27807.05164
125	27671.46085
126	27548.00854
127	27418.20794
128	27297.42588
129	27183.02598
130	27048.27838
131	26909.41222
132	26819.08805
133	26706.98835
134	26592.67026
135	26483.22271
136	26365.60556
137	26268.9563
138	26161.85964
139	26027.37864
140	25928.89908
141	25838.5022
142	25747.96795
143	25655.2404
144	25548.83578
145	25438.59734
146	25349.4568
147	25247.87178
148	25157.83031
149	25049.86055
