iter	Passed	Remaining
0	1	7840
1	3	7923
2	5	8120
3	7	8045
4	8	7978
5	10	8191
6	13	8535
7	14	8409
8	16	8266
9	18	8132
10	20	8229
11	21	8089
12	23	8075
13	25	8015
14	26	7917
15	28	7933
16	30	8040
17	32	8026
18	33	7987
19	35	8053
20	37	8004
21	39	7972
22	40	7910
23	42	8008
24	44	7983
25	46	7942
26	47	7923
27	49	7890
28	51	7929
29	53	7940
30	54	7918
31	56	7883
32	58	7929
33	60	7906
34	62	7926
35	63	7923
36	66	7980
37	67	7966
38	69	7963
39	71	7972
40	73	7981
41	75	7963
42	77	7987
43	78	7967
44	80	7955
45	81	7935
46	83	7954
47	85	7938
48	87	7929
49	89	7929
50	91	7968
51	92	7938
52	94	7939
53	96	7920
54	98	7933
55	99	7912
56	100	7865
57	102	7886
58	116	8755
59	118	8795
60	120	8765
61	121	8727
62	123	8697
63	125	8686
64	126	8656
65	128	8652
66	130	8636
67	132	8607
68	133	8579
69	135	8558
70	137	8548
71	138	8506
72	140	8491
73	141	8461
74	143	8451
75	145	8453
76	147	8444
77	148	8420
78	150	8407
79	152	8407
80	153	8380
81	155	8370
82	156	8347
83	158	8341
84	160	8342
85	162	8355
86	164	8341
87	166	8341
88	168	8344
89	170	8343
90	172	8345
91	174	8338
92	176	8349
93	178	8365
94	180	8355
95	182	8366
96	184	8374
97	185	8350
98	187	8332
99	189	8323
100	191	8327
101	193	8324
102	194	8310
103	196	8316
104	198	8310
105	199	8288
106	201	8270
107	203	8275
108	204	8248
109	206	8223
110	207	8206
111	209	8203
112	211	8195
113	212	8165
114	213	8147
115	214	8124
116	216	8121
117	218	8103
118	220	8102
119	221	8090
120	223	8081
121	225	8079
122	226	8060
123	227	8043
124	229	8022
125	231	8023
126	232	8001
127	233	7987
128	235	7989
129	237	7980
130	238	7959
131	240	7948
132	241	7932
133	243	7917
134	244	7889
135	245	7885
136	247	7875
137	248	7870
138	250	7850
139	252	7850
140	253	7833
141	254	7812
142	255	7795
143	257	7796
144	258	7776
145	260	7759
146	261	7735
147	262	7728
148	264	7713
149	265	7704
150	266	7689
151	268	7685
152	270	7676
153	271	7671
154	273	7662
155	275	7657
156	276	7641
157	278	7654
158	280	7648
159	282	7650
160	283	7646
161	285	7636
162	286	7628
163	288	7623
164	289	7603
165	290	7592
166	292	7580
167	294	7588
168	295	7582
169	297	7576
170	299	7574
171	300	7564
172	301	7548
173	303	7543
174	305	7545
175	307	7544
176	308	7546
177	310	7541
178	312	7534
179	313	7535
180	315	7519
181	316	7514
182	318	7501
183	319	7495
184	321	7499
185	323	7500
186	324	7491
187	326	7494
188	328	7485
189	329	7478
190	331	7469
191	332	7470
192	334	7460
193	335	7451
194	337	7443
195	338	7436
196	340	7428
197	341	7414
198	342	7405
199	344	7402
200	346	7403
201	347	7394
202	349	7390
203	350	7385
204	352	7378
205	353	7369
206	355	7366
207	356	7362
208	358	7357
209	359	7348
210	361	7342
211	362	7338
212	364	7338
213	366	7337
214	367	7329
215	369	7331
216	371	7334
217	373	7330
218	374	7326
219	376	7317
220	377	7307
221	379	7308
222	381	7311
223	382	7309
224	384	7311
225	386	7311
226	388	7313
227	390	7309
228	391	7305
229	393	7296
230	394	7287
231	395	7280
232	397	7287
233	399	7284
234	401	7283
235	403	7282
236	404	7280
237	406	7275
238	407	7269
239	409	7268
240	411	7279
241	413	7272
242	415	7271
243	416	7268
244	418	7274
245	420	7268
246	421	7259
247	423	7262
248	424	7249
249	425	7240
250	427	7240
251	429	7237
252	430	7230
253	432	7225
254	434	7228
255	436	7234
256	438	7233
257	439	7226
258	440	7221
259	443	7234
260	445	7232
261	446	7228
262	448	7228
263	450	7224
264	451	7219
265	453	7223
266	455	7220
267	457	7216
268	458	7216
269	460	7211
270	461	7204
271	463	7197
272	464	7192
273	466	7198
274	468	7192
275	469	7186
276	470	7179
277	472	7178
278	473	7171
279	475	7167
280	476	7160
281	478	7153
282	479	7149
283	481	7150
284	483	7145
285	484	7141
286	486	7134
287	487	7133
288	488	7125
289	490	7125
290	492	7119
291	493	7114
292	495	7108
293	496	7102
294	498	7103
295	500	7101
296	501	7097
297	503	7099
298	505	7096
299	506	7095
300	508	7093
301	509	7089
302	511	7085
303	513	7088
304	515	7084
305	516	7077
306	517	7072
307	519	7075
308	521	7070
309	522	7065
310	524	7070
311	526	7070
312	528	7066
313	529	7065
314	531	7060
315	533	7068
316	535	7068
317	537	7067
318	539	7065
319	541	7071
320	543	7072
321	544	7070
322	546	7069
323	548	7065
324	549	7063
325	551	7059
326	553	7059
327	554	7059
328	556	7056
329	558	7055
330	559	7050
331	561	7046
332	563	7049
333	565	7053
334	567	7052
335	568	7051
336	570	7048
337	572	7049
338	574	7049
339	575	7047
340	578	7052
341	580	7059
342	582	7059
343	584	7057
344	585	7054
345	587	7050
346	589	7052
347	591	7051
348	592	7052
349	594	7051
350	596	7047
351	597	7046
352	599	7045
353	601	7042
354	602	7038
355	604	7034
356	605	7030
357	608	7035
358	609	7032
359	611	7033
360	614	7039
361	615	7036
362	617	7033
363	618	7031
364	620	7033
365	622	7030
366	624	7027
367	625	7025
368	627	7025
369	629	7021
370	630	7021
371	632	7018
372	634	7016
373	636	7019
374	638	7019
375	639	7018
376	641	7016
377	643	7013
378	644	7012
379	646	7011
380	648	7007
381	650	7007
382	651	7006
383	653	7005
384	655	7005
385	656	7001
386	658	6996
387	659	6991
388	661	6993
389	663	6989
390	664	6985
391	666	6981
392	667	6977
393	669	6974
394	671	6975
395	673	6974
396	674	6975
397	676	6971
398	678	6973
399	680	6972
400	681	6970
401	683	6967
402	685	6967
403	686	6965
404	688	6963
405	690	6959
406	691	6953
407	693	6951
408	695	6954
409	696	6950
410	698	6948
411	700	6946
412	701	6943
413	703	6943
414	705	6946
415	707	6944
416	709	6945
417	710	6942
418	712	6938
419	713	6934
420	715	6931
421	716	6928
422	718	6926
423	720	6925
424	722	6926
425	724	6925
426	726	6928
427	728	6927
428	729	6925
429	731	6921
430	732	6916
431	734	6917
432	736	6916
433	737	6913
434	739	6911
435	741	6907
436	742	6908
437	744	6904
438	746	6903
439	747	6900
440	749	6896
441	750	6894
442	752	6895
443	754	6894
444	756	6893
445	758	6890
446	759	6888
447	761	6890
448	763	6890
449	765	6891
450	767	6892
451	770	6896
452	771	6893
453	773	6891
454	775	6891
455	776	6887
456	778	6883
457	779	6881
458	781	6880
459	783	6878
460	784	6872
461	786	6871
462	787	6868
463	789	6869
464	791	6864
465	792	6860
466	793	6855
467	795	6856
468	797	6854
469	799	6853
470	800	6847
471	802	6848
472	803	6843
473	805	6841
474	806	6837
475	808	6836
476	809	6830
477	811	6827
478	813	6827
479	814	6822
480	816	6818
481	817	6818
482	819	6818
483	821	6815
484	822	6812
485	824	6812
486	826	6808
487	827	6805
488	829	6807
489	831	6804
490	832	6801
491	834	6800
492	836	6797
493	837	6795
494	839	6791
495	840	6787
496	842	6786
497	843	6781
498	845	6778
499	846	6775
500	848	6772
501	850	6770
502	852	6771
503	853	6768
504	855	6765
505	856	6762
506	858	6763
507	860	6763
508	862	6761
509	863	6755
510	865	6752
511	867	6754
512	868	6751
513	870	6748
514	872	6749
515	873	6747
516	875	6744
517	876	6737
518	877	6732
519	879	6729
520	880	6728
521	882	6725
522	884	6722
523	885	6721
524	887	6721
525	889	6721
526	890	6716
527	893	6717
528	894	6714
529	896	6714
530	897	6712
531	899	6710
532	901	6710
533	903	6710
534	905	6710
535	906	6707
536	908	6705
537	910	6705
538	912	6705
539	914	6704
540	916	6703
541	917	6700
542	919	6703
543	921	6701
544	922	6697
545	923	6691
546	925	6690
547	927	6687
548	929	6685
549	930	6683
550	932	6684
551	934	6681
552	935	6677
553	937	6675
554	938	6674
555	940	6673
556	942	6670
557	943	6666
558	945	6663
559	947	6664
560	948	6661
561	950	6658
562	951	6655
563	953	6653
564	955	6651
565	956	6646
566	957	6643
567	959	6642
568	961	6640
569	962	6637
570	964	6634
571	965	6632
572	967	6631
573	969	6629
574	970	6625
575	972	6622
576	973	6619
577	974	6614
578	977	6617
579	978	6614
580	980	6611
581	981	6606
582	983	6608
583	984	6604
584	986	6601
585	987	6597
586	989	6593
587	990	6589
588	992	6589
589	993	6586
590	995	6582
591	996	6577
592	998	6576
593	999	6573
594	1001	6570
595	1002	6565
596	1003	6563
597	1005	6559
598	1006	6555
599	1007	6550
600	1009	6550
601	1010	6545
602	1012	6540
603	1013	6534
604	1015	6535
605	1016	6532
606	1017	6527
607	1019	6524
608	1021	6525
609	1022	6522
610	1023	6517
611	1025	6513
612	1026	6511
613	1028	6509
614	1030	6507
615	1031	6503
616	1033	6501
617	1034	6498
618	1035	6494
619	1037	6491
620	1038	6489
621	1040	6484
622	1041	6480
623	1042	6477
624	1044	6473
625	1045	6469
626	1046	6466
627	1048	6462
628	1049	6459
629	1051	6457
630	1053	6457
631	1054	6454
632	1055	6450
633	1057	6448
634	1059	6449
635	1061	6447
636	1062	6443
637	1063	6440
638	1066	6441
639	1067	6439
640	1069	6437
641	1070	6434
642	1072	6434
643	1074	6433
644	1075	6429
645	1077	6427
646	1079	6428
647	1080	6425
648	1082	6421
649	1084	6420
650	1086	6421
651	1087	6417
652	1088	6414
653	1090	6411
654	1092	6410
655	1093	6408
656	1095	6408
657	1096	6404
658	1098	6402
659	1100	6400
660	1101	6399
661	1103	6396
662	1104	6394
663	1106	6394
664	1108	6391
665	1109	6388
666	1111	6387
667	1112	6384
668	1114	6381
669	1115	6377
670	1117	6376
671	1118	6372
672	1120	6369
673	1121	6367
674	1123	6367
675	1125	6365
676	1126	6363
677	1128	6362
678	1129	6358
679	1131	6355
680	1132	6352
681	1134	6348
682	1135	6345
683	1136	6339
684	1137	6336
685	1139	6333
686	1140	6332
687	1142	6328
688	1143	6325
